SA2_NAME,SA2_MAINCODE,Number of available beds,Population,Weekly_Earnings,No_of_Dwellings,No_of_employed_persons,No_of_tertiary_educated,Monthly_Mortgage_Repayment,Number_of_renters,No_of_indigenous_ppl
Mount Morgan,308031212,10.0,2961.0,1200.0,1584.0,780,102.0,281.0,318,6
Mount Pleasant - Glenella,312021348,227.0,11039.0,3474.0,4246.0,5233,1325.0,1382.0,838,55
Mount Waverley - South,212051324,35.0,19291.0,6298.0,7238.0,8308,5587.0,1872.0,1513,0
Moyne - East,217041477,28.0,6709.0,2409.0,3126.0,3151,571.0,739.0,506,5
Moyne - West,217041478,22.0,9603.0,3278.0,4792.0,4357,1252.0,1114.0,688,6
Mudgee,103031072,29.7,12019.0,3863.0,5273.0,5040,1165.0,1157.0,1540,8
Mudgee Region - East,103031073,168.6,3497.0,1388.0,1975.0,1083,223.0,315.0,353,0
Mudgee Region - West,103031074,86.7,10514.0,3652.0,5055.0,4035,791.0,1087.0,728,7
Mukinbudin,509021242,8.5,3218.0,1203.0,1841.0,1577,217.0,247.0,383,0
Mullumbimby,112011243,44.8,8398.0,2750.0,3809.0,3143,1416.0,776.0,853,10
Murdoch - Kardinya,507041182,928.6,12846.0,4364.0,4839.0,5714,2990.0,1318.0,861,3
Murray,509031248,8.0,2625.0,855.0,1296.0,1172,230.0,278.0,250,4
Murray Bridge,407031165,58.0,18196.0,6403.0,8014.0,6870,988.0,1763.0,2525,4
Murray Bridge Region,407031166,96.0,3716.0,1248.0,1886.0,1760,233.0,511.0,207,0
Murwillumbah,112031251,61.3,9088.0,3142.0,3857.0,3244,879.0,919.0,1046,19
Murwillumbah Region,112031252,122.6,9906.0,3513.0,4200.0,3933,1264.0,1171.0,682,13
Muswellbrook,106041126,51.6,12376.0,4187.0,5511.0,4860,757.0,1412.0,1922,16
Muswellbrook Region,106041127,68.6,4086.0,1347.0,1783.0,1868,227.0,444.0,370,3
Myrtleford,204031071,15.0,4742.0,1796.0,2271.0,2041,429.0,485.0,403,0
Nagambie,204011058,20.0,4048.0,1408.0,2244.0,1764,380.0,400.0,345,0
Namadgi,801111141,45.7,38.0,12.0,20.0,20,6.0,4.0,7,0
Nambour,316071548,150.0,20380.0,6780.0,8262.0,8294,2045.0,2444.0,2334,49
Nambucca Heads Region,108021159,40.6,7808.0,2822.0,3440.0,2793,787.0,894.0,531,13
Nanango,319021509,59.0,9775.0,3676.0,4887.0,2697,515.0,1088.0,905,26
Naracoorte,407021154,60.0,6208.0,2231.0,2731.0,2938,469.0,771.0,680,0
Naracoorte Region,407021155,60.0,2336.0,889.0,1111.0,1300,213.0,247.0,200,3
Narara,102011035,525.9,6848.0,2253.0,2461.0,3294,902.0,1078.0,438,0
Narrabri,110031197,29.8,7320.0,2580.0,3249.0,3155,601.0,778.0,847,36
Narrabri Region,110031198,64.8,4910.0,1773.0,2178.0,2071,368.0,462.0,546,6
Narrandera,113011259,83.4,6138.0,2330.0,2926.0,2405,413.0,672.0,575,3
Narre Warren North,212021299,240.0,8183.0,1932.0,2360.0,3919,1144.0,1000.0,96,0
Narrogin,509031249,46.3,4796.0,1684.0,2115.0,1900,407.0,527.0,550,4
Narromine,105031105,47.2,6712.0,2482.0,2916.0,2629,487.0,708.0,661,35
Nedlands - Dalkeith - Crawley,503011035,1522.8,19446.0,5956.0,7147.0,7951,8045.0,1460.0,1958,4
Nelson Bay Peninsula,106031121,14.0,21621.0,7721.0,12867.0,7779,2424.0,1708.0,2421,20
New Norfolk,601031020,14.0,6631.0,2460.0,2951.0,2460,281.0,874.0,780,18
New Town,601051030,99.0,6153.0,2432.0,2894.0,2749,1550.0,714.0,976,11
Newcastle - Cooks Hill,111031229,119.3,11435.0,4621.0,6396.0,5975,3851.0,961.0,2599,4
Newman,510021268,8.0,4396.0,1344.0,2519.0,2302,398.0,195.0,1169,18
Newstead,602011042,404.0,5342.0,2012.0,2408.0,2158,969.0,619.0,662,3
Newstead - Bowen Hills,305031128,969.0,11355.0,3451.0,6531.0,6877,4368.0,868.0,3127,0
Newtown (Qld),317011453,507.0,9812.0,3936.0,4772.0,4148,980.0,1150.0,1742,22
Newtown (Vic.),203021046,507.0,10483.0,3779.0,4540.0,4909,2774.0,1162.0,1066,0
Newtown - Camperdown - Darlington,117031332,792.8,26354.0,8601.0,12125.0,14582,10757.0,2221.0,6298,6
Nhill Region,215011390,42.0,6960.0,2890.0,3678.0,2868,549.0,687.0,493,4
Nhulunbuy,702041064,30.0,3302.0,1167.0,1417.0,1562,425.0,19.0,855,11
Niagara Park - Lisarow,102011036,525.9,8201.0,2637.0,2900.0,3910,1123.0,1292.0,498,0
Noble Park - West,212041460,39.0,0,0,6786.0,7204,2328.0,0,2189,0
Noble Park North,212041316,39.0,7871.0,2594.0,2862.0,3063,980.0,854.0,696,0
Normanhurst - Thornleigh - Westleigh,121021406,15.0,19099.0,5922.0,6425.0,9022,5865.0,2563.0,981,0
North Adelaide,401011002,308.0,7267.0,2653.0,3527.0,3305,2526.0,487.0,1329,0
North Burnett,319021510,14.0,8.0,0.0,3.0,7,0.0,3.0,0,0
North Geelong - Bell Park,203021047,97.0,15040.0,5409.0,6537.0,6139,1673.0,1558.0,1644,0
North Ipswich - Tivoli,310031292,439.0,6573.0,2432.0,2888.0,2472,457.0,778.0,804,7
North Mackay,312021349,227.0,6125.0,2541.0,3127.0,2511,499.0,679.0,936,67
North Nowra - Bomaderry,114011277,188.4,16185.0,5795.0,6818.0,6446,1835.0,1923.0,1626,13
North Ryde - East Ryde,126021501,204.8,12758.0,3967.0,4525.0,5894,3571.0,1369.0,885,0
North Toowoomba - Harlaxton,317011454,507.0,5913.0,2296.0,2746.0,2500,705.0,719.0,993,11
North West,604031094,12.0,4128.0,1442.0,2071.0,1872,207.0,505.0,364,12
Northam,509021243,41.7,11238.0,3774.0,4998.0,4337,714.0,1412.0,1044,3
Northampton - Mullewa - Greenough,511041292,12.7,5974.0,2191.0,3902.0,2552,405.0,562.0,644,0
Northern Beaches,318021486,11.0,6453.0,2190.0,3255.0,2658,458.0,1009.0,402,20
Northern Highlands,315021407,32.0,3204.0,1275.0,1927.0,1715,215.0,261.0,427,17
Northern Midlands,602031061,2.0,3686.0,1426.0,1898.0,1464,245.0,381.0,409,3
Northern Peninsula,315011399,16.0,2945.0,564.0,987.0,804,120.0,0.0,663,1392
Northgate - Oakden - Gilles Plains,402031037,169.0,25130.0,7548.0,9933.0,10588,4629.0,2914.0,2723,5
Northmead,125041491,1351.4,21105.0,6448.0,8255.0,9854,7099.0,1927.0,3582,0
Norwood (Tas.),602011043,404.0,3966.0,1436.0,1669.0,1678,591.0,475.0,268,0
Nowra,114011278,188.4,20617.0,6342.0,8115.0,7161,1386.0,1983.0,2659,30
Numurkah,216021413,28.0,12422.0,4663.0,5550.0,5415,855.0,1665.0,986,3
Nunawading,211041271,116.0,12363.0,4052.0,4800.0,5602,3248.0,1433.0,1220,0
Nyngan - Warren,105011095,117.69999999999999,5096.0,1980.0,2446.0,2087,365.0,438.0,582,4
Oberon,103011061,447.79999999999995,4704.0,1681.0,2337.0,1930,326.0,506.0,421,3
Old Bar - Manning Point - Red Head,108051168,193.5,10661.0,3703.0,5124.0,3874,1275.0,1048.0,912,12
One Tree Hill,402021033,62.0,2537.0,800.0,910.0,1328,350.0,387.0,53,0
Ooralea - Bakers Creek,312021350,227.0,5146.0,1409.0,2112.0,2517,426.0,566.0,490,24
Orange,103041077,321.1,19390.0,7560.0,9058.0,7642,2431.0,2024.0,2753,32
Orange - North,103041078,321.1,20196.0,5768.0,7758.0,9304,2842.0,2272.0,2125,14
Orange Region,103041079,361.40000000000003,11762.0,3899.0,4712.0,5548,1502.0,1454.0,673,11
Orbost,205021085,15.0,6497.0,2790.0,4100.0,2304,616.0,686.0,557,0
Otway,217031476,4.0,3556.0,1247.0,3699.0,1603,563.0,347.0,354,0
Outback,406021141,232.0,2718.0,1027.0,2427.0,1361,199.0,94.0,457,0
Pagewood - Hillsdale - Daceyville,117011323,341.7,11857.0,3960.0,4563.0,5061,2169.0,982.0,1847,7
Palmwoods,316061444,150.0,10838.0,3514.0,4065.0,4835,1538.0,1500.0,626,9
Panorama,403031070,656.0,8324.0,3202.0,3574.0,3439,1803.0,887.0,798,0
Parkes (NSW),103021067,30.3,11251.0,4029.0,4929.0,4376,835.0,1281.0,1289,5
Parkes Region,103021068,45.3,3420.0,1266.0,1688.0,1351,246.0,305.0,274,0
Parkhurst - Kawana,308031215,12.0,7040.0,2181.0,2797.0,2991,600.0,742.0,918,41
Parklands - Camdale,604011078,145.0,6459.0,2383.0,2861.0,2428,646.0,673.0,848,23
Parkville,206041124,1543.8,7898.0,1553.0,2479.0,3503,2874.0,282.0,1297,3
Parrearra - Warana,316021423,567.0,9804.0,3532.0,4167.0,4185,1337.0,982.0,1187,4
Paynesville,205021086,101.0,6374.0,2266.0,3695.0,2086,719.0,534.0,524,0
Pearcedale - Tooradin,212031308,22.0,8035.0,2561.0,2884.0,3906,581.0,1382.0,305,0
Pemberton,501031020,33.1,5078.0,1940.0,3289.0,2193,521.0,497.0,447,7
Pendle Hill - Girraween,125041588,1351.4,0,0,4513.0,5367,3183.0,0,1524,0
Penola,407021156,6.0,3227.0,1225.0,1512.0,1491,261.0,408.0,319,0
Penrith,124031464,11.0,13784.0,4934.0,6325.0,5758,1646.0,1197.0,2914,10
Perth City,503021041,506.9,33811.0,11093.0,19353.0,17438,11753.0,2512.0,8371,11
Peterborough - Mount Remarkable,405031121,137.0,5506.0,2265.0,3244.0,2130,378.0,589.0,411,18
Pialba - Eli Waters,319041518,192.0,14183.0,4942.0,6626.0,3966,1232.0,1022.0,1711,16
Pitt Town - McGraths Hill,115041301,96.5,10822.0,2912.0,3616.0,5504,1023.0,1263.0,488,0
Pittsworth,307021182,507.0,5856.0,1842.0,2188.0,2560,396.0,593.0,492,6
Plantagenet,509011234,17.7,5103.0,1803.0,2462.0,2120,417.0,566.0,448,0
Point Clare - Koolewong,102011037,576.3,6389.0,2307.0,2672.0,2814,1067.0,860.0,525,0
Point Cook - North,213051465,286.0,0,0,7665.0,10943,5388.0,0,1886,0
Point Nepean,214021383,75.0,17999.0,6295.0,20156.0,6748,2355.0,1895.0,1466,9
Point Vernon,319041519,192.0,5785.0,2169.0,2575.0,1703,542.0,533.0,648,5
Port Augusta,406021142,61.0,14053.0,4908.0,6427.0,5182,862.0,1506.0,1918,32
Port Botany Industrial,117011324,341.7,7.0,0.0,5.0,4,0.0,0.0,0,0
Port Douglas,306041165,24.0,5475.0,1775.0,3192.0,2746,735.0,471.0,943,13
Port Hedland,510021269,64.0,4538.0,1135.0,2437.0,2444,606.0,141.0,1197,7
Port Kembla - Warrawong,107011546,57.3,0,0,4336.0,3066,675.0,0,1491,0
Port Kembla Industrial,107011133,490.5,11.0,0.0,4.0,0,0.0,0.0,0,0
Port Lincoln,406011133,67.0,16198.0,5860.0,7329.0,6873,1279.0,1900.0,1991,5
Port Macquarie - East,108041163,204.3,28724.0,10718.0,13285.0,11502,4153.0,2999.0,3364,13
Port Macquarie - West,108041164,204.3,17652.0,6344.0,8497.0,6123,1571.0,1398.0,2374,9
Port Macquarie Region,108041165,261.3,5375.0,1873.0,2295.0,2295,540.0,665.0,318,0
Port Pirie,405031122,69.0,14347.0,5733.0,6857.0,5115,768.0,1777.0,1923,5
Port Pirie Region,405031123,82.0,3365.0,1259.0,1555.0,1365,249.0,421.0,226,0
Port Sorell,604021089,95.0,5752.0,1960.0,2871.0,2353,580.0,630.0,497,8
Portland,217011422,53.0,10943.0,4223.0,5345.0,4446,847.0,1479.0,1243,15
Pottsville,112031253,61.3,13602.0,4471.0,5789.0,5483,1677.0,1476.0,1296,49
Prahran - Windsor,206061136,697.0,21275.0,8061.0,11394.0,12157,8100.0,1769.0,5270,0
Prestons - Edmondson Park,127031600,821.7,0,0,4924.0,7990,2626.0,0,793,0
Proserpine,312031361,33.0,8416.0,2928.0,3957.0,3726,474.0,1071.0,758,30
Prospect Reservoir,116031318,448.3,44.0,3.0,10.0,18,0.0,0.0,3,0
Prospect Vale - Blackstone,602011044,404.0,6539.0,2431.0,2855.0,2981,692.0,930.0,567,0
Putney,126021590,47.0,0,0,1444.0,2076,1137.0,0,196,0
Queanbeyan,101021009,45.7,11230.0,4359.0,5651.0,5612,1960.0,1387.0,2122,4
Queanbeyan - East,101021010,45.7,4970.0,1989.0,2459.0,2647,1018.0,643.0,936,3
Queanbeyan Region,101021011,315.5,17291.0,4496.0,6290.0,8814,3472.0,2321.0,615,11
Queanbeyan West - Jerrabomberra,101021012,45.7,13150.0,4119.0,4616.0,7125,2548.0,2065.0,1034,10
Quirindi,110041201,53.8,7846.0,2951.0,3718.0,3015,488.0,728.0,864,11
Quorn - Lake Gilles,406021140,185.0,0,0,1495.0,871,166.0,0,227,0
Raceview,310031293,439.0,15581.0,4895.0,5706.0,6620,1153.0,1671.0,2030,26
Randwick - North,118021569,669.5999999999999,0,0,7780.0,9611,6465.0,0,3346,0
Rangeville,317011455,507.0,8473.0,3139.0,3646.0,3751,1759.0,997.0,852,5
Ravenswood,602011045,404.0,3672.0,1534.0,1700.0,1074,97.0,408.0,708,23
Red Cliffs,215021399,137.0,5947.0,2002.0,2510.0,2453,370.0,764.0,495,6
Redcliffe,313051379,433.0,10567.0,4040.0,5307.0,3949,1060.0,948.0,2063,11
Redlynch,306011141,652.0,13171.0,3776.0,4861.0,6484,2026.0,1859.0,1105,79
Renmark,407031167,17.0,4820.0,1802.0,2294.0,1663,291.0,428.0,772,6
Renmark Region,407031168,70.0,4960.0,1783.0,2223.0,2401,305.0,733.0,334,3
Richmond - Clarendon,124041466,96.5,14204.0,4973.0,5665.0,6334,1498.0,1534.0,1764,0
Ringwood East,211031267,286.0,21031.0,7175.0,8211.0,9948,4704.0,2847.0,1819,0
Risdon Vale,601021010,20.0,3144.0,943.0,1124.0,901,81.0,388.0,290,12
Riverside,602011046,404.0,6555.0,2309.0,2790.0,2959,1109.0,811.0,601,0
Riverstone - Marsden Park,116021312,595.5,17811.0,3886.0,6318.0,8411,2894.0,1156.0,1454,16
Robertson - Fitzroy Falls,114021288,70.7,3606.0,1247.0,1744.0,1617,655.0,431.0,209,3
Robina,309081261,377.0,24085.0,7254.0,8971.0,11026,3924.0,2433.0,2783,10
Robinvale,215031403,14.0,3382.0,1125.0,1407.0,1227,174.0,258.0,388,11
Rochester,216011409,12.0,3895.0,1450.0,1785.0,1596,262.0,455.0,303,0
Rockhampton - West,308031216,315.0,6079.0,2302.0,2725.0,2625,664.0,743.0,702,55
Rockhampton City,308031217,315.0,3346.0,1348.0,1762.0,1200,233.0,338.0,557,21
Rockhampton Region - East,308031218,34.0,3476.0,1094.0,1497.0,1471,255.0,454.0,136,9
Rockhampton Region - North,308031219,34.0,4307.0,1327.0,1995.0,1905,370.0,462.0,221,4
Rockhampton Region - West,308031220,12.0,2947.0,898.0,1202.0,1457,197.0,413.0,131,10
Rockingham,507051188,195.5,15995.0,6223.0,8082.0,6162,1192.0,1552.0,2260,5
Rocklea - Acacia Ridge,303051076,221.0,9945.0,3114.0,3813.0,3784,1157.0,933.0,1501,39
Roebourne,510031273,36.0,5848.0,1105.0,2295.0,2659,434.0,160.0,1059,21
Roebuck,510011266,66.0,2439.0,510.0,1513.0,606,133.0,36.0,489,34
Roma,307011176,47.0,7025.0,2241.0,3375.0,3373,715.0,696.0,1094,4
Roma Region,307011177,70.0,5901.0,2205.0,3200.0,2982,395.0,588.0,519,12
Romaine - Havenview,604011080,145.0,3447.0,1355.0,1493.0,1494,226.0,505.0,320,3
Romsey,210021235,36.0,9663.0,2947.0,3725.0,4427,1092.0,1495.0,438,10
Rooty Hill - Minchinbury,116031319,109.5,21876.0,5596.0,6453.0,9851,3363.0,2683.0,1563,6
Rosebud - McCrae,214021384,75.0,21613.0,8287.0,13746.0,7507,1888.0,2122.0,2300,10
Rosedale,205051102,280.0,4791.0,1378.0,1658.0,1848,295.0,537.0,267,0
Rosemeadow - Glen Alpine,123021444,451.8,21362.0,6060.0,6974.0,9202,1968.0,2804.0,1967,4
Ross,702011051,319.0,2572.0,723.0,1432.0,1064,290.0,219.0,309,4
Roxburgh Park - Somerton,210051249,14.0,23960.0,5214.0,5971.0,7428,2345.0,3302.0,1123,0
Roxby Downs,406021143,10.0,4057.0,1321.0,1771.0,2206,394.0,339.0,854,4
Rushworth,216011410,20.0,4076.0,1632.0,2133.0,1613,264.0,524.0,265,0
Ryde,126021591,47.0,0,0,11132.0,13502,7885.0,0,4063,0
Sale,205051103,86.0,14891.0,5592.0,6933.0,6155,1742.0,1797.0,1905,5
Sandringham - Black Rock,208011173,109.0,17517.0,5658.0,7183.0,7916,5314.0,1801.0,1467,0
Sans Souci - Ramsgate,119041382,799.5,16778.0,6008.0,7227.0,7468,2825.0,1697.0,1827,9
Sarina,312021352,243.0,11766.0,3917.0,5231.0,4861,556.0,1475.0,1025,106
Sawtell - Boambee,104021089,313.40000000000003,19889.0,7224.0,8496.0,8004,2343.0,2234.0,2126,13
Scarborough - Newport - Moreton Island,313051542,433.0,0,0,5980.0,5409,1854.0,0,1421,9
Scone,106041128,36.5,5941.0,2240.0,2605.0,2641,573.0,746.0,697,3
Scone Region,106041129,427.5,8403.0,3003.0,3948.0,3656,588.0,875.0,822,11
Scottsdale - Bridport,602031100,18.0,7668.0,3047.0,3783.0,2568,397.0,872.0,643,9
Seaford (SA),403041087,106.0,22828.0,7145.0,9490.0,10104,2178.0,3120.0,2344,4
Seaforth - Calen,312021353,326.0,8237.0,2841.0,3961.0,3661,500.0,1060.0,480,19
Seaham - Woodville,106031123,176.5,5480.0,1605.0,1867.0,2769,673.0,850.0,156,3
Seddon - Kingsville,213031350,329.0,9711.0,3389.0,4209.0,5019,3123.0,1267.0,1459,0
Seven Hills - Toongabbie,116011308,448.3,24783.0,7498.0,8290.0,11013,4483.0,2910.0,2127,4
Seymour,204011059,42.0,6403.0,2537.0,3028.0,2459,396.0,703.0,811,5
Seymour Region,204011060,110.0,4489.0,1366.0,1815.0,2151,474.0,483.0,369,0
Shellharbour - Flinders,107031141,176.4,17384.0,4468.0,6138.0,8041,2088.0,1955.0,1252,4
Shepparton - North,216031416,233.0,19007.0,6371.0,7953.0,8068,2433.0,1989.0,2367,22
Shepparton Region - East,216031418,233.0,3897.0,1382.0,1575.0,1997,399.0,572.0,185,0
Shepparton Region - West,216031419,47.0,10279.0,3470.0,4235.0,4370,889.0,1264.0,758,4
Shoalwater Bay,308031221,34.0,16.0,6.0,34.0,3,0.0,0.0,0,0
Singleton,106011112,48.8,16517.0,5592.0,6554.0,7570,1314.0,2165.0,1869,8
Singleton Region,106011113,100.4,5030.0,1610.0,2057.0,2197,381.0,624.0,293,7
Skye - Sandhurst,214011376,22.0,13664.0,3463.0,4568.0,6882,1672.0,2280.0,733,0
Slade Point,312021355,227.0,3392.0,1290.0,1500.0,1467,247.0,472.0,412,92
Smithton,604031095,12.0,3974.0,1532.0,1765.0,1728,162.0,571.0,465,34
South Brisbane,305011110,836.0,7779.0,1999.0,3609.0,3796,2846.0,313.0,1888,8
South Bunbury - Bunbury,501021253,164.8,0,0,6270.0,5593,1976.0,0,1663,0
South Hedland,510021270,64.0,9873.0,2459.0,5015.0,4357,700.0,464.0,2283,115
South Mackay,312021356,227.0,6843.0,2820.0,3252.0,3059,529.0,871.0,1052,59
Southern Downs - East,307031185,69.0,4280.0,1501.0,1888.0,1887,367.0,469.0,278,5
Southern Downs - West,307031186,69.0,4683.0,1649.0,2195.0,1934,357.0,522.0,330,4
Southern Grampians,217011423,88.0,6143.0,2446.0,3105.0,2894,705.0,643.0,389,0
Southern Midlands,603011067,2.0,6098.0,2264.0,2713.0,2607,332.0,936.0,370,21
Southport - South,309091541,862.0,0,0,8095.0,7400,2968.0,0,3153,10
Springwood - Winmalee,124011454,30.6,22144.0,7725.0,8345.0,10554,4482.0,3444.0,1117,4
St Albans - North,213011334,583.0,21064.0,6428.0,7729.0,6961,2082.0,1600.0,2393,0
St Arnaud,215011391,27.0,3353.0,1463.0,1821.0,1453,255.0,403.0,266,4
St Helens - Scamander,602031064,17.0,6178.0,2580.0,4511.0,1928,531.0,620.0,596,11
St Johns Park - Wakeley,127021520,271.8,11175.0,3021.0,3227.0,4254,1166.0,1070.0,566,0
St Leonards - Naremburn,121011401,843.4,11128.0,4040.0,5257.0,6330,4862.0,1207.0,2268,0
Stanthorpe,307031187,45.0,5512.0,2165.0,2707.0,1948,487.0,518.0,742,0
Stanthorpe Region,307031188,90.0,5857.0,2007.0,2805.0,2325,551.0,647.0,470,7
Stawell,215011392,75.0,8225.0,3309.0,4295.0,3405,700.0,1017.0,834,5
Stirling - Osborne Park,505021093,164.8,14419.0,5100.0,6169.0,7072,3218.0,1796.0,1522,3
Strathalbyn,407011146,25.0,7291.0,2483.0,3074.0,2995,700.0,935.0,621,0
Strathalbyn Region,407011147,72.0,7546.0,2461.0,3456.0,3497,776.0,1140.0,375,0
Stratton - Jane Brook,504031067,307.0,7060.0,2229.0,2621.0,3390,539.0,1247.0,476,0
Subiaco - Shenton Park,503021042,245.8,17231.0,6436.0,8503.0,8178,6866.0,1500.0,2810,9
Summerhill - Prospect,602011048,404.0,5012.0,1820.0,2127.0,2183,409.0,663.0,566,13
Summerland Point - Gwandalan,102021052,324.5,5897.0,2050.0,2726.0,2346,366.0,748.0,432,9
Sunbury,210041240,27.0,13238.0,4061.0,4587.0,6294,1518.0,2136.0,582,0
Sunbury - South,210041241,27.0,27686.0,8654.0,10662.0,13240,3128.0,4216.0,2288,9
Surrey Hills (West) - Canterbury,207011155,20.0,17126.0,5479.0,6279.0,7747,6420.0,1770.0,1163,0
Surry Hills,117031336,427.1,17746.0,6954.0,9272.0,10182,7252.0,1632.0,4693,4
Svensson Heights - Norville,319011501,247.0,5701.0,2323.0,2687.0,2031,397.0,633.0,811,13
Swan Hill,215031404,66.0,11079.0,4061.0,4933.0,4666,946.0,1190.0,1371,10
Swan Hill Region,215031405,86.0,6442.0,2379.0,2861.0,2683,372.0,759.0,402,0
Swan View - Greenmount - Midvale,504021054,307.0,12400.0,4502.0,5285.0,5369,1157.0,1785.0,1009,3
Swanbourne - Mount Claremont,503011036,168.0,9107.0,2835.0,3533.0,3984,3169.0,855.0,574,6
Swansea - Caves Beach,111011212,324.5,11800.0,4140.0,5246.0,4619,1324.0,1139.0,1011,11
Sydney - Haymarket - The Rocks,117031337,58.8,29636.0,8299.0,13825.0,15124,10416.0,1436.0,6321,0
Sylvania - Taren Point,128011531,344.9,16756.0,5469.0,6211.0,7063,2779.0,1738.0,1000,0
Tablelands,315011400,99.0,6090.0,1791.0,2564.0,2114,326.0,479.0,433,113
Tamworth - East,110041202,298.6,20793.0,7552.0,8964.0,9109,1813.0,2437.0,2615,49
Tamworth - North,110041203,298.6,15442.0,5251.0,6847.0,6652,2195.0,1472.0,2100,21
Tamworth - West,110041204,298.6,5751.0,1792.0,2199.0,1940,225.0,573.0,835,22
Tamworth Region,110041205,389.50000000000006,18823.0,6469.0,8032.0,8215,1681.0,2279.0,1258,21
Tanunda,405011115,22.0,4704.0,1800.0,2120.0,2139,643.0,597.0,444,0
Tara,307011178,74.0,4272.0,1542.0,2189.0,1375,195.0,385.0,384,14
Taree,108051169,193.5,20894.0,7897.0,9206.0,6628,1346.0,2089.0,2755,34
Taree Region,108051170,304.5,12538.0,4480.0,6187.0,4294,1012.0,1225.0,848,12
Tatiara,407021157,111.0,6817.0,2470.0,3060.0,3426,446.0,816.0,601,0
Telina - Toolooa,308051538,79.0,6330.0,1681.0,2526.0,2800,541.0,836.0,780,46
Temora,113031266,25.7,6828.0,2522.0,3133.0,2715,523.0,650.0,606,0
Tennant Creek,702021056,43.0,3296.0,845.0,1453.0,1157,288.0,173.0,600,21
Tenterfield,110021194,102.0,6697.0,2686.0,3716.0,2361,524.0,690.0,648,15
The Coorong,407031169,23.0,5538.0,2125.0,3024.0,2292,281.0,604.0,553,3
The Entrance,102021053,22.0,15383.0,5935.0,9383.0,5827,1433.0,983.0,2879,6
The Oaks - Oakdale,123031448,56.0,9314.0,2638.0,2987.0,4579,915.0,1288.0,341,3
The Range - Allenstown,308031222,315.0,8358.0,2850.0,3684.0,3404,1336.0,784.0,1029,33
The Vines,504031068,307.0,10186.0,1815.0,3726.0,5078,1303.0,923.0,408,0
Thirroul - Austinmer - Coalcliff,107041148,38.0,11686.0,3746.0,4593.0,5504,3224.0,1418.0,753,7
Tinana,319051526,97.0,5505.0,1773.0,2327.0,2092,431.0,661.0,410,12
Tiwi,701021027,1243.0,2735.0,822.0,946.0,1166,604.0,283.0,305,22
Tocumwal - Finley - Jerilderie,109031185,155.2,9902.0,3711.0,4991.0,3827,711.0,1018.0,949,3
Toongabbie - Constitution Hill,125041493,1351.4,22570.0,7193.0,8093.0,10000,4859.0,2611.0,2035,3
Toorak Gardens,401031013,141.0,16229.0,6280.0,7452.0,6977,5712.0,1652.0,1752,0
Toowoomba - Central,317011456,507.0,13753.0,5471.0,6487.0,5885,2047.0,1556.0,2317,26
Toowoomba - East,317011457,507.0,10012.0,3786.0,4594.0,4712,2402.0,1169.0,1290,8
Toowoomba - West,317011458,507.0,13278.0,3712.0,4862.0,6532,1321.0,1645.0,1176,10
Torquay - Scarness - Kawungan,319041520,192.0,15269.0,5921.0,7938.0,4694,1240.0,1271.0,2376,34
Torres,315011401,82.0,3799.0,817.0,1187.0,1379,327.0,45.0,692,594
Torres Strait Islands,315011402,46.0,4775.0,942.0,1248.0,974,108.0,0.0,942,502
Townsville - South,318021489,11.0,4325.0,1414.0,2010.0,2077,485.0,630.0,181,7
Towong,204031072,16.0,6014.0,2314.0,3098.0,2649,559.0,686.0,455,4
Traralgon,205041097,280.0,27361.0,9739.0,12092.0,11911,2975.0,3817.0,2721,18
Trevallyn,602011049,404.0,4648.0,1820.0,2085.0,2221,1056.0,680.0,440,0
Triabunna - Bicheno,603031074,10.0,4425.0,1708.0,4033.0,1641,398.0,390.0,447,6
Tuggerah - Kangy Angy,102021055,324.5,5302.0,1680.0,1989.0,2409,614.0,682.0,522,3
Tully,306031161,31.0,10872.0,3747.0,5995.0,4589,782.0,1004.0,1394,97
Tumbarumba,113021260,368.29999999999995,3491.0,1307.0,1701.0,1459,258.0,332.0,318,4
Tumut,113021261,26.3,6399.0,2392.0,2892.0,2482,477.0,710.0,733,4
Tumut Region,113021262,80.3,4763.0,1805.0,2395.0,2073,408.0,514.0,331,0
Tweed Heads,112031254,318.1,19932.0,7735.0,10128.0,7267,1956.0,1938.0,2576,78
Ulladulla,114011282,27.9,15618.0,5759.0,8831.0,5336,1545.0,1360.0,1492,6
Ulladulla Region,114011283,27.9,5128.0,1861.0,4059.0,1882,594.0,527.0,317,3
Umina - Booker Bay - Patonga,102011040,50.4,24235.0,9205.0,12039.0,9178,2456.0,2369.0,3077,7
Upper Caboolture,313041376,265.0,3355.0,888.0,1007.0,1514,262.0,461.0,94,0
Urangan - Wondunna,319041521,192.0,12842.0,4443.0,6099.0,4397,1115.0,1093.0,1610,32
Urunga,104021090,41.8,4739.0,1906.0,2365.0,1780,580.0,447.0,513,0
Valentine - Eleebana,111011213,118.9,12340.0,4219.0,4663.0,5628,2426.0,1686.0,434,3
Victor Harbor,407011148,47.0,14719.0,5573.0,9178.0,4480,1493.0,1353.0,1505,4
Viewbank - Yallambie,209011203,807.0,19018.0,6505.0,7250.0,8747,4647.0,2316.0,1354,0
Wacol,310011276,124.0,6055.0,793.0,1007.0,836,182.0,142.0,520,35
Wagaman,701021028,1243.0,2345.0,603.0,726.0,1038,348.0,242.0,239,21
Wagga Wagga - East,113031267,299.5,17004.0,5797.0,6879.0,7910,2368.0,2095.0,1644,7
