SA2_NAME,SA2_MAINCODE,Number of available beds,Population,Weekly_Earnings,No_of_Dwellings,No_of_employed_persons,No_of_tertiary_educated,Monthly_Mortgage_Repayment,Number_of_renters,No_of_indigenous_ppl
Ingham,318011464,32.0,4468.0,1899.0,2307.0,1717,259.0,371.0,554,26
Ingham Region,318011465,32.0,6500.0,2590.0,3431.0,2840,422.0,585.0,519,30
Inglewood - Waggamba,307011174,61.0,4287.0,1611.0,2203.0,1837,301.0,344.0,538,4
Innisfail,306031159,63.0,9575.0,3471.0,4183.0,3531,674.0,740.0,1461,273
Inverell,110021191,46.6,11900.0,4377.0,5204.0,4536,871.0,1297.0,1547,33
Inverell Region - East,110021192,139.2,5340.0,1901.0,2340.0,1861,291.0,521.0,412,0
Inverell Region - West,110021193,144.1,6057.0,2265.0,2851.0,2363,418.0,575.0,520,6
Ipswich - Central,310031286,439.0,6782.0,2394.0,2873.0,2659,879.0,669.0,1012,31
Ipswich - East,310031287,439.0,18521.0,6477.0,7904.0,7088,1689.0,1935.0,2731,37
Irwin,511041289,2.3,3604.0,1326.0,1989.0,1389,208.0,375.0,413,0
Ivanhoe East - Eaglemont,209011201,807.0,8119.0,2672.0,3059.0,3897,2976.0,830.0,525,0
Jamestown,405031120,59.0,4661.0,1858.0,2383.0,2014,396.0,582.0,395,0
Jamisontown - South Penrith,124031461,11.0,17738.0,6082.0,6822.0,8154,1723.0,2515.0,1819,5
Jilliby - Yarramalong,102021049,324.5,3423.0,943.0,1206.0,1644,453.0,436.0,116,3
Jimboomba,311041321,28.0,26560.0,5947.0,8687.0,12347,1745.0,3771.0,1542,20
Jindabyne - Berridale,101031016,33.0,7071.0,2041.0,5100.0,3899,1001.0,676.0,1024,0
Jingili,701021018,1243.0,1894.0,588.0,643.0,877,359.0,264.0,138,15
Johnstone,306031160,73.0,8029.0,2849.0,3969.0,3559,516.0,854.0,713,61
Jondaryan,307021180,560.0,7620.0,2495.0,3079.0,3481,405.0,771.0,813,4
Junee,113031265,385.09999999999997,6363.0,1868.0,2322.0,2290,402.0,630.0,483,14
Kalamunda - Maida Vale - Gooseberry Hill,506051140,22.0,15409.0,5366.0,6214.0,6917,2655.0,2126.0,674,6
Kaleen,801011016,278.0,7369.0,2570.0,2777.0,3616,2081.0,897.0,573,0
Kalgoorlie,511031279,119.0,14298.0,4394.0,5900.0,6912,1388.0,1768.0,1896,34
Kalgoorlie - North,511031280,119.0,9038.0,2950.0,3742.0,4634,1115.0,1258.0,1165,3
Kambalda - Coolgardie - Norseman,511031282,123.7,4671.0,1655.0,2635.0,1913,227.0,535.0,600,14
Kangaroo Island,407011145,15.0,4836.0,1782.0,3186.0,2166,531.0,538.0,498,3
Kanimbla - Mooroobool,306021149,652.0,10147.0,3211.0,3834.0,4561,1334.0,1205.0,1093,236
Karabar,101021008,45.7,8531.0,3089.0,3385.0,4184,908.0,1186.0,898,0
Kariong,102011033,525.9,6586.0,2034.0,2181.0,3156,680.0,1112.0,421,0
Karoonda - Lameroo,407031161,23.0,3096.0,1221.0,1667.0,1417,206.0,304.0,270,0
Karratha,510031272,28.0,16363.0,4181.0,7516.0,8040,1783.0,619.0,3945,61
Katanning,509011230,22.9,4615.0,1669.0,2039.0,1959,324.0,492.0,522,0
Katherine,702051067,82.0,10605.0,2793.0,4081.0,4152,1014.0,738.0,1491,62
Katoomba - Leura,124011452,92.3,13563.0,5152.0,7470.0,5552,3033.0,1642.0,1596,8
Keilor Downs,213011332,583.0,13943.0,4337.0,4841.0,5851,1678.0,1550.0,816,0
Kelvin Grove - Herston,305031126,969.0,10718.0,2898.0,4313.0,4553,3607.0,699.0,2341,9
Kempsey,108021155,74.0,15125.0,5067.0,5894.0,4467,776.0,1413.0,1553,73
Kempsey Region,108021156,74.0,9133.0,3483.0,4716.0,3414,776.0,1038.0,699,17
Kerang,215031402,18.0,3898.0,1597.0,1961.0,1521,273.0,390.0,374,0
Kew,207011153,212.0,26504.0,8370.0,10373.0,12255,9781.0,2367.0,2736,0
Kiama,107031138,15.0,7862.0,2902.0,3950.0,3231,1527.0,752.0,714,0
Kiama Downs - Minnamurra,107031139,15.0,6112.0,2006.0,2349.0,2746,1131.0,763.0,303,0
